매장명,주소,lat,lon
GS252테크노파크점,"경기 부천시 오정구 석천로345,  300동 114호(삼정동 365)",37.51826292,126.76388845
GS2538선휴게소점,"강원 양양군 현북면 동해대로1242, 38선휴게소 (잔교리 41-10, 38휴게소)",38.00414846,128.73283627
GS25CBS점,"서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)",37.52831065,126.87486792
GS25CJ대전HUB점,"대전 대덕구 대덕대로1447번길39, 1층 (문평동 140)",36.44932895,127.40708036
GS25CJ덕양SUB점,"경기 고양시 일산동구 성현로615 (사리현동 151-1, CJ대한통운)",37.69488283,126.84958684
GS25G서초연일점,"서울 서초구 남부순환로2451 (서초1동 1426-13, 연일주유소)",37.48257474,127.01849562
GS25G신사남서울점,"서울 서초구 나루터로83 (잠원동 13-6, 남서울주유소)",37.51617873,127.018938
GS25G여의도점,"서울 영등포구 은행로64, GS칼텍스內편의점(여의도동 10-1)",37.53035064,126.92556942
GS25KD사옥점,서울 성동구 왕십리로125 (성수동1가 656-292),37.54872267,127.0439634
GS25LG광화문점,"서울 종로구 새문안로58, 지하2층 (신문로2가 92, LG광화문빌딩)",37.56939613,126.97147733
GS25LG사이언스파크점,"서울 강서구 마곡중앙10로10, 지하1층 (마곡동 770, 엘지사이언스파크)",37.56410133,126.82870256
GS25LG유플러스용산점,"서울 용산구 한강대로32, 지하1층 (한강로3가 65-228, 엘지유플러스)",37.52377837,126.96347203
GS25R강동4점,"서울 강동구 구천면로200, 강동지사 4층 (천호동 419-3, 한국마사회)",37.54003642,127.12653161
GS25R강동5점,"서울 강동구 구천면로200, 마사회 강동지사 5층 (천호동 419-3)",37.54003642,127.12653161
GS25R도봉4점,"서울 도봉구 노해로67길14, 4층 (창동 8, 한국마사회)",37.65228704,127.04938016
GS25R도봉8점,"서울 도봉구 노해로67길14, 8층 (창동 8, 한국마사회창동지점)",37.65228704,127.04938016
GS25R서울강남4점,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)",37.5250955,127.05158476
GS25R선릉7점,"서울 강남구 테헤란로416, 마사회선릉지사 7층 (대치동 890-8, 연봉빌딩)",37.50502169,127.05179352
GS25R영등포4점,"서울 영등포구 영중로8길14, 4층 (영등포동3가 18, 영등포케이빌딩)",37.5181796,126.90713537
GS25R영등포6점,"서울 영등포구 영중로8길14, 6층 (영등포동3가 18, 영등포케이빌딩)",37.5181796,126.90713537
GS25R영등포8점,"서울 영등포구 영중로8길14, 8층 (영등포동3가 18, 마사회)",37.5181796,126.90713537
GS25R종로2점,"서울 종로구 난계로29길49, 2층 (숭인동 201-18)",37.57363484,127.02066398
GS25S6고려대역점,"서울 성북구 종암로지하 1, 6호선 고려대역 지하철역사 (종암동 29-18)",37.59041163,127.03591174
GS25S6공덕역점,"서울 마포구 백범로지하 200, 지하1층 (공덕동 439, 공덕역)",37.54351749,126.95192797
GS25S6광흥창역점,"서울 마포구 독막로지하 165, 6호 호선 광흥창역 (창전동 145-17)",37.54744215,126.93238573
GS25S6구산역점,"서울 은평구 연서로지하 137-1, 6호선 구산역 지하1층 1001호 (구산동)",37.61120489,126.91715841
GS25S6녹사평역점,"서울 용산구 녹사평대로지하 195, 지하 (용산동4가 4)",37.53444061,126.98559185
GS25S6대흥역점,"서울 마포구 대흥로지하 85, 6호 호선 대흥역 (대흥동 128-1)",37.54772106,126.94235176
GS25S6돌곶이역점,"서울 성북구 화랑로지하 243, 지하철 역사 (석관동 349-8, 6호선)",37.61055883,127.05709244
GS25S6동묘앞역점,서울 종로구 지봉로지하 24 (숭인동 316-3),37.57165724,127.01581079
GS25S6마포구청역점,"서울 마포구 월드컵로지하 190 (성산동 592, 마포구청역)",37.56339473,126.90335112
GS25S6망원역점,"서울 마포구 월드컵로지하 77 (망원동 378, 6호선망원역)",37.55604989,126.91001185
GS25S6보문역점,"서울 성북구 보문로지하 116 (보문동1가 127-1, 6호선 보문역역사)",37.58559262,127.01969212
GS25S6봉화산역점,"서울 중랑구 신내로지하 232, 지하철역사내 (신내동 643-1, 6호선)",37.61647813,127.09265318
GS25S6삼각지역점,"서울 용산구 한강대로지하 185, 지하3층 (한강로1가 228-1, 6호선 삼각지역)",37.53442196,126.97301013
GS25S6상수역점,"서울 마포구 독막로지하 85, 6호 호선 상수역 (상수동 309-10)",37.54811054,126.92264379
GS25S6상암DMC역2점,"서울 은평구 수색로지하 175, 6호선 디지털미디어시티역 지하1층 (증산동 223-25)",37.5774396,126.90213758
GS25S6상월곡역점,"서울 성북구 화랑로지하 157, 지하철 6호선 상월곡역 역사 내 (상월곡동 26-1)",37.60703041,127.04968461
GS25S6석계역점,"서울 노원구 화랑로지하 347-1, 월계동 석계역 6호선 (월계동 25-2)",37.61526759,127.06683087
GS25S6신당역점,"서울 중구 다산로지하 260, 지하  (흥인동 162-1, 신동역 6호선)",37.56756902,127.01611361
GS25S6안암역점,"서울 성북구 인촌로지하 89, 6호선 지하철 역사 내 (안암동5가 146-1)",37.58608696,127.02935512
GS25S6약수역점,"서울 중구 다산로지하 115, 지하층  (신당동 369-2, 약수역 6호선)",37.55505047,127.01035898
GS25S6역촌역점,"서울 은평구 서오릉로지하 63, 지하1층 1001호 (녹번동 153-31, 6호선 역촌역사무소)",37.6053696,126.92343801
